Group,Stimulus,mean_slope,sd_slope,mean_intercept,sd_intercept,mean_r_squared
HC,NEUTRAL,-0.03379664178917319,0.014201052908485428,-0.01121349453324745,0.022303111932416096,0.7920545499677194
HC,TRIGGER,-0.01639396883363469,0.008459427088787053,-0.022107752989757472,0.023384830515038257,0.5025758982198599
MS,NEUTRAL,-0.012359702353618843,0.01866748912521442,-0.0434603591586245,0.06679019331641455,0.2748740904253728
MS,TRIGGER,-0.005354120770719398,0.015839052561231907,-0.046205447909191386,0.04753643097191451,0.35218180665863597
